Year;Country of origin;Country of asylum;Refugees under UNHCR's mandate
2018;Algeria;Germany;589
2018;Egypt;Germany;2122
2018;Bahrain;Germany;79
2018;Iraq;Germany;136463
2018;Israel;Germany;41
2018;Jordan;Germany;382
2018;Kuwait;Germany;27
2018;Libya;Germany;1732
2018;Lebanon;Germany;1557
2018;Mauritania;Germany;34
2018;Morocco;Germany;712
2018;Oman;Germany;9
2018;Saudi Arabia;Germany;130
2018;Syrian Arab Rep.;Germany;532065
2018;Tunisia;Germany;197
2018;United Arab Emirates;Germany;33
2018;Yemen;Germany;1809
2019;Algeria;Germany;613
2019;Egypt;Germany;2310
2019;Bahrain;Germany;89
2019;Iraq;Germany;141650
2019;Israel;Germany;39
2019;Jordan;Germany;435
2019;Kuwait;Germany;30
2019;Libya;Germany;1987
2019;Lebanon;Germany;1656
2019;Mauritania;Germany;41
2019;Morocco;Germany;800
2019;Oman;Germany;9
2019;Qatar;Germany;5
2019;Saudi Arabia;Germany;145
2019;Syrian Arab Rep.;Germany;572818
2019;Tunisia;Germany;218
2019;United Arab Emirates;Germany;39
2019;Yemen;Germany;2629
2020;Algeria;Germany;600
2020;Egypt;Germany;2298
2020;Bahrain;Germany;80
2020;Palestinian;Germany;2066
2020;Iraq;Germany;146009
2020;Israel;Germany;40
2020;Jordan;Germany;485
2020;Kuwait;Germany;39
2020;Libya;Germany;2545
2020;Lebanon;Germany;1775
2020;Mauritania;Germany;58
2020;Morocco;Germany;835
2020;Oman;Germany;8
2020;Qatar;Germany;5
2020;Saudi Arabia;Germany;178
2020;Syrian Arab Rep.;Germany;605338
2020;Tunisia;Germany;234
2020;United Arab Emirates;Germany;38
2020;Yemen;Germany;3039
2021;Algeria;Germany;630
2021;Egypt;Germany;2259
2021;Bahrain;Germany;74
2021;Palestinian;Germany;2025
2021;Iraq;Germany;147869
2021;Israel;Germany;31
2021;Jordan;Germany;496
2021;Kuwait;Germany;48
2021;Libya;Germany;2687
2021;Lebanon;Germany;1872
2021;Mauritania;Germany;65
2021;Morocco;Germany;866
2021;Oman;Germany;8
2021;Qatar;Germany;5
2021;Saudi Arabia;Germany;175
2021;Syrian Arab Rep.;Germany;621740
2021;Tunisia;Germany;251
2021;United Arab Emirates;Germany;33
2021;Yemen;Germany;3082
2022;Algeria;Germany;937
2022;Egypt;Germany;1840
2022;Bahrain;Germany;45
2022;Palestinian;Germany;1586
2022;Iraq;Germany;103374
2022;Israel;Germany;117
2022;Jordan;Germany;747
2022;Kuwait;Germany;53
2022;Libya;Germany;2442
2022;Lebanon;Germany;2401
2022;Mauritania;Germany;44
2022;Morocco;Germany;2219
2022;Oman;Germany;7
2022;Saudi Arabia;Germany;127
2022;Syrian Arab Rep.;Germany;522575
2022;Tunisia;Germany;495
2022;United Arab Emirates;Germany;20
2022;Yemen;Germany;3757
2023;Algeria;Germany;1079
2023;Egypt;Germany;2593
2023;Bahrain;Germany;68
2023;Palestinian;Germany;2142
2023;Iraq;Germany;146481
2023;Israel;Germany;163
2023;Jordan;Germany;999
2023;Kuwait;Germany;78
2023;Libya;Germany;3051
2023;Lebanon;Germany;2917
2023;Mauritania;Germany;75
2023;Morocco;Germany;2244
2023;Oman;Germany;15
2023;Qatar;Germany;5
2023;Saudi Arabia;Germany;222
2023;Syrian Arab Rep.;Germany;705812
2023;Tunisia;Germany;598
2023;United Arab Emirates;Germany;31
2023;Yemen;Germany;4794
